代码,名称,90%集中度,70%集中度,平均成本,获利比例
600000,模拟股票1,40.27,23.78,30.14,35.05
600001,模拟股票2,47.18,19.48,50.75,46.4
600002,模拟股票3,27.86,11.85,47.74,79.37
600003,模拟股票4,19.56,8.43,79.49,60.22
600004,模拟股票5,6.62,3.24,9.28,30.99
600005,模拟股票6,49.57,25.7,32.31,49.52
600006,模拟股票7,7.6,3.7,29.85,59.25
600007,模拟股票8,43.82,18.71,19.82,88.32
600008,模拟股票9,6.05,4.07,11.05,15.17
600009,模拟股票10,16.51,7.44,21.68,51.66
600010,模拟股票11,5.28,3.36,16.75,44.37
600011,模拟股票12,14.85,9.66,5.17,65.87
600012,模拟股票13,11.64,7.7,53.02,11.52
600013,模拟股票14,27.24,18.63,37.15,76.31
600014,模拟股票15,37.13,20.27,28.04,56.29
600015,模拟股票16,25.18,14.43,35.61,17.28
600016,模拟股票17,21.53,12.31,81.47,59.94
600017,模拟股票18,30.1,15.04,19.49,28.3
600018,模拟股票19,14.56,6.6,61.21,17.32
600019,模拟股票20,36.58,22.59,55.71,34.84
600020,模拟股票21,8.55,5.25,66.7,19.84
600021,模拟股票22,25.2,12.49,46.17,43.53
600022,模拟股票23,24.35,15.49,26.16,16.68
600023,模拟股票24,5.59,3.35,40.22,57.61
600024,模拟股票25,20.83,13.23,79.14,77.8
600025,模拟股票26,12.89,8.94,17.21,55.88
600026,模拟股票27,49.91,19.98,11.25,15.68
600027,模拟股票28,20.25,10.03,52.91,66.79
600028,模拟股票29,15.83,7.05,107.39,16.15
600029,模拟股票30,17.8,7.74,76.44,20.34
600030,模拟股票31,7.92,4.84,52.44,35.35
600031,模拟股票32,28.68,12.16,55.08,81.19
600032,模拟股票33,28.3,17.14,77.0,46.22
600033,模拟股票34,29.72,19.37,79.41,75.97
600034,模拟股票35,31.37,12.76,10.82,84.27
600035,模拟股票36,46.48,29.6,76.23,34.26
600036,模拟股票37,6.5,3.79,67.18,26.75
600037,模拟股票38,12.12,7.49,58.93,51.74
600038,模拟股票39,44.45,17.88,38.16,71.05
600039,模拟股票40,19.06,12.01,27.16,75.73
600040,模拟股票41,32.29,18.53,8.83,70.67
600041,模拟股票42,32.41,15.92,67.06,76.95
600042,模拟股票43,17.05,8.97,53.09,57.3
600043,模拟股票44,32.09,14.25,71.91,75.98
600044,模拟股票45,26.43,16.26,66.89,68.18
600045,模拟股票46,12.01,6.5,10.27,65.69
600046,模拟股票47,9.22,6.15,99.02,77.56
600047,模拟股票48,28.96,16.2,63.28,14.57
600048,模拟股票49,25.17,15.87,94.02,65.78
600049,模拟股票50,25.74,14.9,73.37,23.12
600050,模拟股票51,8.38,5.16,45.37,10.9
600051,模拟股票52,30.98,20.72,25.18,49.81
600052,模拟股票53,20.59,11.86,42.49,46.36
600053,模拟股票54,9.81,6.06,64.35,77.57
600054,模拟股票55,28.88,13.55,37.07,70.0
600055,模拟股票56,8.89,6.02,18.82,13.22
600056,模拟股票57,29.35,12.37,96.03,27.29
600057,模拟股票58,24.32,11.18,93.21,44.38
600058,模拟股票59,41.16,20.54,88.16,87.36
600059,模拟股票60,5.68,3.2,8.31,30.85
600060,模拟股票61,15.37,8.62,25.25,26.25
600061,模拟股票62,15.31,9.04,14.39,10.66
600062,模拟股票63,10.2,6.7,58.83,73.56
600063,模拟股票64,32.51,21.01,23.39,69.28
600064,模拟股票65,22.12,15.07,15.76,69.49
600065,模拟股票66,14.52,6.62,103.64,49.45
600066,模拟股票67,30.9,14.55,60.35,36.6
600067,模拟股票68,38.28,15.91,29.71,58.87
600068,模拟股票69,25.28,11.57,66.54,18.76
600069,模拟股票70,15.32,9.9,37.08,86.36
600070,模拟股票71,5.28,3.48,19.11,87.31
600071,模拟股票72,5.77,3.91,12.75,58.66
600072,模拟股票73,12.97,6.31,47.71,74.01
600073,模拟股票74,28.83,17.26,58.59,45.82
600074,模拟股票75,5.64,3.29,50.96,68.01
600075,模拟股票76,46.32,19.32,71.08,50.12
600076,模拟股票77,28.36,11.6,47.16,36.09
600077,模拟股票78,19.42,8.97,61.29,52.93
600078,模拟股票79,11.41,5.23,57.92,43.43
600079,模拟股票80,12.56,6.9,54.07,79.45
600080,模拟股票81,7.64,4.01,83.36,19.96
600081,模拟股票82,25.8,17.13,16.34,24.98
600082,模拟股票83,7.08,4.09,88.43,88.24
600083,模拟股票84,13.94,9.4,39.65,58.75
600084,模拟股票85,8.63,6.03,73.56,50.14
600085,模拟股票86,33.55,14.63,24.06,10.8
600086,模拟股票87,23.23,15.47,25.11,41.35
600087,模拟股票88,40.94,25.86,69.91,80.56
600088,模拟股票89,8.51,4.05,9.19,12.74
600089,模拟股票90,45.22,31.34,93.06,33.12
600090,模拟股票91,34.14,21.8,58.4,74.29
600091,模拟股票92,32.29,16.07,74.27,43.58
600092,模拟股票93,14.55,7.85,74.55,48.84
600093,模拟股票94,36.02,16.32,74.71,10.68
600094,模拟股票95,18.91,11.15,60.9,72.23
600095,模拟股票96,7.45,3.81,24.24,25.31
600096,模拟股票97,42.81,26.39,6.06,34.17
600097,模拟股票98,24.32,13.86,16.15,14.52
600098,模拟股票99,36.96,16.4,69.05,36.13
600099,模拟股票100,40.09,16.3,67.66,28.71
600100,模拟股票101,42.14,18.71,43.66,34.81
600101,模拟股票102,6.32,2.83,44.34,56.03
600102,模拟股票103,24.88,14.2,45.62,30.27
600103,模拟股票104,47.66,30.77,14.36,43.36
600104,模拟股票105,11.72,6.29,26.93,21.99
600105,模拟股票106,34.61,21.64,37.03,34.14
600106,模拟股票107,33.61,16.24,65.62,25.52
600107,模拟股票108,16.65,9.96,51.64,41.2
600108,模拟股票109,46.68,27.34,56.72,81.67
600109,模拟股票110,25.28,15.69,96.47,44.86
600110,模拟股票111,8.4,3.71,9.75,40.13
600111,模拟股票112,39.66,22.04,56.04,10.49
600112,模拟股票113,12.47,8.14,95.96,40.96
600113,模拟股票114,45.81,24.56,85.24,64.71
600114,模拟股票115,5.4,2.8,16.08,85.54
600115,模拟股票116,39.09,25.56,12.82,19.56
600116,模拟股票117,9.8,5.53,80.72,81.29
600117,模拟股票118,31.59,14.7,19.62,67.97
600118,模拟股票119,26.06,16.64,10.91,85.21
600119,模拟股票120,39.7,21.44,70.39,21.18
600120,模拟股票121,35.3,22.1,18.44,51.77
600121,模拟股票122,44.68,25.03,66.26,26.23
600122,模拟股票123,41.69,19.76,90.16,69.16
600123,模拟股票124,28.39,16.68,61.41,80.92
600124,模拟股票125,32.6,16.28,40.47,14.89
600125,模拟股票126,47.57,25.15,40.2,50.79
600126,模拟股票127,6.04,3.97,80.07,22.07
600127,模拟股票128,44.94,23.49,33.2,14.85
600128,模拟股票129,6.28,3.78,40.68,17.93
600129,模拟股票130,13.72,6.09,51.07,41.05
600130,模拟股票131,11.26,4.94,25.96,79.09
600131,模拟股票132,29.51,20.37,50.53,54.11
600132,模拟股票133,6.07,3.31,91.62,67.27
600133,模拟股票134,10.43,4.17,23.68,30.78
600134,模拟股票135,33.5,20.75,93.47,83.91
600135,模拟股票136,48.71,30.41,96.12,10.16
600136,模拟股票137,10.95,7.24,8.11,47.19
600137,模拟股票138,24.12,14.04,64.36,24.76
600138,模拟股票139,22.29,11.91,50.54,77.07
600139,模拟股票140,7.61,5.22,65.86,75.43
600140,模拟股票141,29.03,19.73,24.1,60.53
600141,模拟股票142,16.87,7.28,59.14,73.63
600142,模拟股票143,26.74,13.29,46.05,27.66
600143,模拟股票144,47.28,32.19,28.18,20.89
600144,模拟股票145,44.93,22.95,47.0,80.51
600145,模拟股票146,34.39,22.97,77.33,25.4
600146,模拟股票147,42.23,26.24,88.72,21.55
600147,模拟股票148,23.53,10.87,40.65,81.41
600148,模拟股票149,17.17,7.52,94.06,74.42
600149,模拟股票150,14.68,6.72,86.51,78.33
600150,模拟股票151,30.88,15.54,47.72,37.32
600151,模拟股票152,13.12,8.8,12.06,56.62
600152,模拟股票153,14.82,6.03,34.52,18.77
600153,模拟股票154,42.13,24.04,62.28,47.85
600154,模拟股票155,14.94,8.92,62.74,30.8
600155,模拟股票156,49.87,33.86,36.92,30.93
600156,模拟股票157,38.99,22.35,63.48,67.21
600157,模拟股票158,24.23,14.28,61.45,79.97
600158,模拟股票159,12.28,8.57,48.98,63.02
600159,模拟股票160,23.18,14.22,27.08,39.3
600160,模拟股票161,46.51,30.35,39.06,55.13
600161,模拟股票162,45.83,20.1,35.08,20.33
600162,模拟股票163,17.39,10.92,89.97,49.23
600163,模拟股票164,7.22,3.12,54.5,29.53
600164,模拟股票165,11.33,7.22,87.24,88.33
600165,模拟股票166,35.18,15.07,29.48,74.02
600166,模拟股票167,40.86,26.17,54.87,28.43
